7011,Village Housing B1,Village Housing B1,Village Housing B1,VILL HSG B1,7011,Lower Quarry Village Housing,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,216 Village Road,Santa Cruz,Santa Cruz,CA,95064,216 VILLAGE ROAD,5245,44,1,14,01/01/1997,09/01/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7012,Village Housing B2,Village Housing B2,Village Housing B2,VILL HSG B2,7012,Lower Quarry Village Housing,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,212 Village Road,Santa Cruz,Santa Cruz,CA,95064,212 VILLAGE ROAD,5245,44,1,14,01/01/1997,09/01/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7013,Village Housing B3,Village Housing B3,Village Housing B3,VILL HSG B3,7013,Lower Quarry Village Housing,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,214 Village Road,Santa Cruz,Santa Cruz,CA,95064,214 VILLAGE ROAD,5245,44,1,14,01/01/1997,09/01/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7014,Village Housing C4,Village Housing C4,Village Housing C4,VILL HSG C4,7014,Lower Quarry Village Housing,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,230 Village Road,Santa Cruz,Santa Cruz,CA,95064,230 VILLAGE ROAD,5245,44,1,14,01/01/1997,09/01/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7015,Village Housing F3,Village Housing F3,Village Housing F3,VILL HSG F3,7015,Lower Quarry Village Housing,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,257 Village Road,Santa Cruz,Santa Cruz,CA,95064,257 VILLAGE ROAD,5245,44,1,14,01/01/1997,09/01/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7016,Village Housing F2,Village Housing F2,Village Housing F2,VILL HSG F2,7016,Lower Quarry Village Housing,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,253 Village Road,Santa Cruz,Santa Cruz,CA,95064,253 VILLAGE ROAD,5245,44,1,14,01/01/1997,09/01/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7017,Village Housing C3,Village Housing C3,Village Housing C3,VILL HSG C3,7017,Lower Quarry Village Housing,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,226 Village Road,Santa Cruz,Santa Cruz,CA,95064,226 VILLAGE ROAD,5245,44,1,14,01/01/1997,09/01/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7018,Village Housing E3,Village Housing E3,Village Housing E3,VILL HSG E3,7018,Lower Quarry Village Housing,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,249 Village Road,Santa Cruz,Santa Cruz,CA,95064,249 VILLAGE ROAD,5245,44,1,14,01/01/1997,09/01/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7019,Village Housing E4,Village Housing E4,Village Housing E4,VILL HSG E4,7019,Lower Quarry Village Housing,07 - Santa Cruz,C - Central Campus,R - Residential,RES - Residential,247 Village Road,Santa Cruz,Santa Cruz,CA,95064,247 VILLAGE ROAD,5245,44,1,14,01/01/1997,09/01/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7020,Village Housing F5,Village Housing F5,Village Housing F5,VILL HSG F5,7020,Lower Quarry Village Housing,07 - Santa Cruz,C - Central Campus,R - Residential,SUP - Support,260 Village Road,Santa Cruz,Santa Cruz,CA,95064,260 VILLAGE ROAD,5245,44,1,3,01/01/1997,09/01/1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
